FIPS,State,County,PopChangeRate1516,PopChangeRate1016,TotalPopEst2016,NetMigrationRate1016,NaturalChangeRate1016,Net_International_Migration_Rate_2010_2016,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed5CollegePlusNum,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,TotalPop25Plus,Ed1LessThanHSNum,FemaleHHNum,Ed4AssocDegreeNum,NonEnglishHHNum,ForeignBornAsiaNum,OwnHomeNum,TotalPopACS,TotalHH,TotalOccHU,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaPct,ForeignBornAfricaNum,ForeignBornAsiaPct,ForeignBornMexNum,ForeignBornEuropeNum,ForeignBornNum,HH65PlusAloneNum,LandAreaSQMiles2010,Age65AndOlderNum2010,TotalPop2010,Under18Num2010,Net_International_Migration_2000_2010,NetMigrationNum0010,NaturalChangeNum0010,TotalPopEstBase2010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,Net_International_Migration_2010_2016,NaturalChange1016,TotalPopEst2015,TotalPopEst2011
00000,US,United States,0.70,4.45,323127513,,,,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.2452362,1.500943806,3.623025675,4.487962013,13.02059025,27.53131095,20.95624796,8.17682834,30.31502251,2.64,12.86662944,10.36031843,63.61150331,64767787,44772845,58820411,213649147,27818380,15146112,17469724,5283060,12688938,74881068,318558162,117716237,117716237,5.549201091,17677433,1.271820497,4051488,0.604051074,1924254,3.983240586,11541444,4781379,42193781,12195777,3531905.43,40267984,308745538,74181467,,,,308758105,313998379,316204908,309348193,318563456,,,320896618,311663358
01000,AL,Alabama,0.19,1.63,4863300,0.55,1.08,0.59,7.48,3.30,3.30,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.20,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.418681953,0.368320511,1.122457326,1.197475394,15.20925931,30.95574059,21.89854811,7.926085911,24.01036608,2.55,14.89875266,10.98451105,68.49174609,783076,714201,1009593,3261408,496036,275785,258502,22166,51167,1267824,4841164,1851061,1851061,1.607423339,77818,0.139387965,6748,0.156697852,7586,1.056915238,54340,17831,165504,203330,50645.33,657792,4779736,1132459,54447,147119,147019.5,4780131,4815960,4829479,4785492,4843214,28270,51651,4853875,4799918
01001,AL,Autauga,0.69,1.23,55416,0.25,0.98,0.08,24.96,11.87,5.46,-0.010222394,91.80,26.78,12.00,77.25,17.58,0.86,0.40,2.40,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,1.838362186,0.279750767,0.465040237,0.875,12.41704602,34.33060933,21.52141721,7.138156091,24.59277135,2.62,11.28846154,10.0625,73.16346154,8968,7848,12519,36466,4528,2348,2603,182,327,15218,55049,20800,20800,0.688477538,379,0.112626932,62,0,0,0.59401624,256,154,1012,2093,594.44,6546,54571,14613,-4.5,5224,2403.5,54571,55027,54792,54742,54977,43,538,55035,55255
01003,AL,Baldwin,2.39,13.85,208563,13.10,0.75,0.71,29.80,26.17,3.32,1.584454727,114.65,22.99,16.77,83.50,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.2695103,0.609493258,1.006465841,0.962088651,9.972417933,28.69249568,22.3500493,9.437926057,29.54711103,2.62,9.946905481,12.33017073,71.73082809,41350,31278,40154,139946,13956,7475,13208,723,1210,53905,199510,75149,75149,1.585384191,3163,0.257631196,514,0.076687885,153,0.60648589,2008,1216,6523,9266,1589.78,30568,182265,41898,2239.5,36984,4686.5,182265,190403,195147,183199,199745,1307,1374,203690,186653
01005,AL,Barbour,-1.16,-5.06,25965,-4.48,-0.58,-0.15,-5.44,-4.80,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.70,12837,12820,107,60,1387,258,2.85939731,0.255504622,1.65702262,0.833150625,26.23592756,34.92685049,17.757111,8.212323925,12.86778702,2.6,18.8007016,14.4047358,63.90046043,2366,3265,6422,18387,4824,1715,1510,76,52,5829,26614,9122,9122,2.374690013,632,0.033816788,9,0,0,0.195385887,441,68,761,1314,884.88,3909,27457,6015,530.5,-1393,664,27457,27132,26938,27348,26763,-42,-158,26270,27326
01007,AL,Bibb,0.36,-0.95,22643,-1.20,0.25,0.39,10.03,6.43,2.10,0.341485462,36.81,22.70,12.68,75.02,21.92,0.10,0.28,1.77,0.89,8.32,9.60,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.351231614,0.190501506,0.389863548,0.468217934,19.3015873,41.81587302,21.0984127,5.784126984,12,2.92,14.6708286,11.39330306,72.63053348,1890,3323,6586,15750,3040,1034,911,33,14,5119,22572,7048,7048,1.063264221,240,0.035442141,8,0,0,0.062023746,88,43,305,803,622.58,2906,22915,5201,68,1280,417.5,22919,22645,22501,22861,22511,90,57,22561,22736
01009,AL,Blount,0.05,0.57,57704,-0.27,0.85,0.26,12.34,12.27,3.14,2.07701489,88.90,24.61,14.72,88.89,1.26,0.20,0.50,8.07,1.19,8.41,21.07,64.29,34.43,70.20,31.79,50952,724,115,285,4626,684,4.271800915,0.188895051,3.436503535,1.416169552,19.96858533,32.94233887,22.46909201,11.570227,13.04975679,2.77,9.908336971,10.39332654,78.83020515,5151,8869,13003,39472,7882,2043,4567,292,142,16254,57704,20619,20619,3.589005961,2071,0.097046998,56,0.109177873,63,0.24608346,1983,109,2465,2143,644.78,8439,57322,14106,1061.5,6268.5,1606,57324,57772,57746,57376,57621,150,485,57676,57707
01011,AL,Bullock,-0.89,-4.87,10362,-5.53,0.66,0.66,-6.83,-9.13,3.20,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10.00,-4.76,-45.95,141.30,4.88,2392,7637,20,20,777,86,1.516300227,0.217968158,0,1.152980877,33.43788354,34.14700668,18.28719487,3.872903314,10.25501159,2.84,24.01574803,13.16085489,73.11586052,752,1341,2504,7333,2452,854,284,41,38,2600,10552,3556,3556,0,0,0.388551933,41,0.549658832,58,0.360121304,0,23,160,468,622.80,1469,10914,2430,424,-1057.5,371,10911,10654,10576,10892,10712,72,72,10455,10722
01013,AL,Butler,-0.64,-4.49,19998,-4.01,-0.48,0.18,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,1.395463511,0.024654832,0.384615385,1.198697068,18.94042584,39.85231916,17.16968958,7.957559682,16.08000574,2.6,17.8762215,11.64820847,70.26710098,2243,2395,5559,13949,2642,1372,1110,92,169,5393,20280,7675,7675,0.537475345,109,0,0,0,0,0.833333333,78,5,283,894,776.83,3489,20947,5056,44,-1423,-52.5,20946,20665,20330,20938,20283,38,-100,20126,20848
01015,AL,Calhoun,-0.58,-3.26,114611,-2.87,-0.39,0.18,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.70,0.40,3.28,1.67,-0.36,16.66,32.80,12.41,122.08,82.70,87285,24177,830,480,3893,1975,2.39379374,0.420251461,0.7895895,0.800958488,17.66313675,32.07180178,25.27554951,7.336545429,17.65296653,2.51,16.42297708,11.13132613,69.01777196,13886,19882,25228,78661,13894,7402,5771,361,746,31107,115883,45071,45071,1.070044787,1240,0.106141539,123,0.103552721,120,0.643752751,915,487,2774,5017,605.87,16990,118572,27126,794,1645,1800.5,118586,117208,116475,118468,115837,208,-461,115285,117736
