FIPS,State,County,Vets18OPct,GulfWar2VetsPct,GulfWar1VetsPct,VietnamEraVetsPct,KoreanWarVetsPct,WW2VetsPct,MaleVetsPct,FemaleVetsPct,WhiteNonHispVetsPct,BlackVetsPct,HispanicVetsPct,OtherRaceVetsPct,MedianVetsInc,MedianNonVetsInc,LessThanHSVetsPct,HighSchOnlyVetsPct,SomeCollegeVetsPct,CollegeDegreeVetsPct,LFPVetsRate,UEVetsRate,PctVetsPoor,PctNonVetsPoor,PctVetsDisabilty,PctNonVetsDisabilty,CivPopVets18to64Num,CivPop18ONum,Vets18ONum,NonVetsDisabilty,NonVetsPoor,VetsDisabilty,VetsPoor,CLFVets18to64Num
00000,US,United States,8.008415532,15.30101266,18.71964764,35.67568644,10.05124507,5.891041267,91.8787238,8.121276204,78.67453146,11.4668692,6.229914287,5.358206954,38175,27034,6.844442667,28.72497339,37.04529941,27.38528453,75.39186543,6.411081604,8.936422983,14.50834468,17.94480601,10.01114487,10165671,243935157,19535341,18279151,26490499,1797472,895132,7664089
01000,AL,Alabama,9.438171772,16.87612566,22.21612071,37.20128265,9.448274488,4.15579538,91.54529237,8.454707635,74.67940966,21.52529015,1.548678232,2.744258965,36670,22444,7.397128414,28.48616371,37.81391756,26.30279031,71.3980226,6.003777949,9.998542562,17.86818701,21.6622076,14.08132544,195004,3723825,351461,380998,483459,41617,19209,139229
01001,AL,Autauga,12.32421063,25.95753126,34.27267315,35.50307601,11.41099424,4.326255209,90.73228815,9.267711848,87.16015082,8.811272078,3.552292121,1.647152213,48153,25007,5.047694754,23.78775835,32.65103339,38.51351351,81.89396465,2.972312704,2.716297787,12.80264123,17.57209926,16.44434069,2999,40887,5039,4931,3839,524,81,2456
01003,AL,Baldwin,12.46451796,11.30893846,19.5797319,42.54438176,10.55328399,3.897313804,91.25304073,8.746959267,90.96837638,5.165364112,1.24217173,2.862170695,37146,24939,4.889442541,26.92307692,37.66220284,30.52527769,71.34113018,3.569787038,10.2189781,13.05093,16.10263216,10.48007942,9149,155008,19321,11190,13935,1456,924,6527
01005,AL,Barbour,8.386416974,8.566533409,21.64477441,34.89434609,9.651627641,3.255282696,92.40434038,7.595659623,64.64877213,33.29525985,0.342661336,2.055968018,29500,16889,11.95402299,37.01149425,34.25287356,16.7816092,52.48677249,5.040322581,16.40826873,21.91379443,32.42894057,17.17942787,945,20879,1751,2228,2842,251,127,496
01007,AL,Bibb,7.169726573,6.577916993,15.34847298,31.01018011,14.48707909,4.385277995,92.87392326,7.126076742,83.0853563,15.11354738,0,1.801096319,25081,21010,12.51968504,45.51181102,24.80314961,17.16535433,56.89381933,5.013927577,6.583629893,14.54801092,25.44483986,13.30741874,631,17811,1277,1609,1759,143,37,359
01009,AL,Blount,10.14877308,14.72625698,11.48603352,39.59776536,12.96089385,2.927374302,94.97206704,5.027932961,94.36871508,1.519553073,1.430167598,3.642458101,32310,24673,11.8161435,37.19730942,36.367713,14.61883408,66.65162455,5.551794177,10.14492754,14.72531622,25.76992754,12.28997546,2216,44094,4475,3906,4680,569,224,1477
01011,AL,Bullock,4.916646533,21.37592138,24.57002457,32.67813268,5.651105651,4.668304668,76.65847666,23.34152334,41.27764128,55.03685504,0,3.685503686,26977,17343,13.54679803,35.71428571,31.03448276,19.7044335,55.91836735,24.08759124,12.60869565,21.16040956,23.04347826,15.66715423,245,8278,407,964,1302,53,29,137
01013,AL,Butler,8.616137549,17.33931241,21.44992526,36.47234679,7.847533632,6.20328849,95.44095665,4.559043348,63.90134529,31.09118087,0,5.007473842,31619,18968,12.01201201,38.43843844,31.00600601,18.54354354,61.91135734,4.921700224,5.063291139,24.72796518,26.58227848,16.99310845,722,15529,1338,1874,2727,189,36,447
01015,AL,Calhoun,11.47880041,13.42632956,21.61193452,40.9280248,9.067131648,3.797345733,91.89189189,8.108108108,76.63469922,19.3451516,1.25932384,3.157996706,35625,20216,7.953102101,27.90425012,43.97655105,20.16609673,71.62592986,8.382789318,10.81032947,19.50527932,29.91985752,18.28335996,5646,89931,10323,11671,12451,1680,607,4044
01017,AL,Chambers,9.063681629,14.29161504,17.14167699,40.43783561,10.24370095,4.543577034,89.92152003,10.07847997,72.6559273,25.93969434,0,1.404378356,24747,20818,13.03602058,31.73241852,37.90737564,17.32418525,72.00736648,10.99744246,13.86321627,18.72563796,24.39926063,14.87968401,1086,26711,2421,2863,3603,264,150,782
01019,AL,Cherokee,10.98633999,12.34513274,17.65486726,50.44247788,7.743362832,3.008849558,95.48672566,4.513274336,92.34513274,5.221238938,0,2.433628319,27896,20690,13.61185984,38.58939802,33.55795148,14.24079066,70.30784508,0,7.407407407,15.93906481,23.12312312,18.57676846,1007,20571,2260,2634,2260,231,74,708
01021,AL,Chilton,9.291822233,14.90602722,24.88658458,41.1860013,9.39727803,1.911860013,86.61697991,13.38302009,85.51523007,9.7213221,2.171095269,3.467271549,39937,22560,9.696969697,33.06397306,38.31649832,18.92255892,71.50094997,1.24003543,7.894736842,18.47698947,25.09627728,16.29895535,1579,33212,3086,4041,4581,391,123,1129
01023,AL,Choctaw,8.815426997,10.77586207,23.38362069,25.64655172,14.76293103,6.357758621,97.19827586,2.801724138,64.65517241,34.59051724,0,0.754310345,30525,17159,11.55507559,57.01943844,25.48596112,5.939524838,63.32046332,1.219512195,4.633204633,21.57246782,26.83397683,23.89479575,518,10527,928,1708,1542,139,24,328
